"","scenario","ssb_below_blim_total","ssb_below_blim_iter","collapse_total","collapse_iter","fmaxed_total","fmaxed_iter","yield","rel_yield","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"81",81,0.99642,1,0.9511,0.996,0.04934,0.996,5.04551474540404,0.068456853458134,14,14,"ang-ivvi","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"82",82,1,1,0.98812,1,0.05152,0.998,3.79660468749264,0.0515118127376189,14,14,"ang-ivvi","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"83",83,0.4864,0.96,0.4752,0.48,0.0336,0.48,1.8230091806072,0.0245676797852877,14,14,"ang-ivvi","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"84",84,0.06156,1,0,0,0,0,16.2592279952713,0.220602979949381,14,14,"ang-ivvi","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"85",85,0.6746,1,0.15772,0.388,0.01068,0.366,37.9275775492155,0.569215992814265,15,15,"nep-2829","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"86",86,0.98976,1,0.80634,0.996,0.04718,0.996,4.64935608696991,0.0697774024074565,15,15,"nep-2829","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"87",87,0.67894,1,0.51022,0.682,0.03152,0.678,18.1639057322246,0.272603374716897,15,15,"nep-2829","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"88",88,0.66878,1,0.614,0.86,0.04212,0.86,14.4036437897214,0.216169471653453,15,15,"nep-2829","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"89",89,0.4592,1,0.4022,0.52,0.028,0.54,8.76275885409226,0.130748741043075,15,15,"nep-2829","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"90",90,0.06924,1,0.00134,0.004,0.00012,0.004,12.1320159204807,0.182076945938714,15,15,"nep-2829","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"91",91,0.22692,0.998,0.15528,0.982,0.0186,0.874,31.9019054106602,0.0864237569664186,16,1,"her-nis","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"92",92,0.40436,0.994,0.31482,0.92,0.03648,0.91,85.6524267194195,0.232036438422563,16,1,"her-nis","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"93",93,0.40366,0.994,0.31334,0.932,0.03648,0.916,152.306772255275,0.412606184498657,16,1,"her-nis","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"94",94,0.38778,0.942,0.33052,0.928,0.03852,0.92,42.4977401721722,0.115128369951048,16,1,"her-nis","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"95",95,0.3664,0.98,0.3144,0.98,0.0386,0.94,10.5370746974124,0.0284134167169357,16,1,"her-nis","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"96",96,0.13006,0.826,0.0691,0.528,0.00874,0.462,175.42688541861,0.475239654673655,16,1,"her-nis","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"97",97,0.4455,0.998,0,0,0,0,45.8525571445589,0.803540964612172,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"98",98,0.02802,0.932,0,0,0,0,45.2138548877665,0.792348057182716,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"99",99,0.88606,1,0.79554,0.996,0.04568,0.99,11.1377769379686,0.195183444102256,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"100",100,0.9914,1,0.9431,0.994,0.04772,0.994,4.13515840363527,0.0724663874689815,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"101",101,0.9044,0.98,0.8744,0.92,0.0406,0.92,3.13046658175092,0.0544865783232438,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"102",102,0.02112,0.924,0,0,0,0,23.7898319011167,0.416903781691337,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
